,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_title,artist,opinion
672,0.492,0.791,9,-8.584,1,0.0386,0.00578,0.0648,0.083,0.311,114.675,218993,4,Timeline,Mild High Club,NA
673,0.628,0.337,9,-8.119,0,0.0262,0.49,8.34E-05,0.0939,0.134,66.041,162840,4,It's Only Raining Right Where You're Standing,Drugdealer,NA
674,0.684,0.437,3,-10.395,1,0.0631,0.907,0.87,0.118,0.111,83.182,100114,4,Tommy,Mac DeMarco,NA
675,0.762,0.498,4,-11.809,1,0.283,0.372,0.357,0.117,0.899,172.018,211653,4,Choo Choo - Demo,Mac DeMarco,NA
676,0.651,0.432,7,-11.035,1,0.0335,0.142,0.921,0.128,0.383,120.135,185000,4,Club Intro,Mild High Club,NA
677,0.604,0.784,1,-10.717,1,0.0367,0.0443,0.0495,0.218,0.227,119.963,129320,4,Rollercoaster Baby,Mild High Club,NA
678,0.788,0.684,7,-6.948,1,0.0525,0.736,0.62,0.119,0.678,113.192,190621,4,I've Been Waiting for Her Demo,Mac DeMarco,NA
679,0.472,0.236,9,-14.1,0,0.0304,0.409,0.00124,0.11,0.523,79.216,148019,4,Head Out,Mild High Club,NA
680,0.698,0.469,9,-12.082,1,0.0684,0.73,0.88,0.0953,0.764,157.43,69510,4,Avocado Andrew,Mac DeMarco,NA
681,0.508,0.646,2,-8.939,0,0.0871,0.715,0.91,0.111,0.734,173.832,202800,4,Rick's New Haircut #2,Mac DeMarco,NA
682,0.522,0.427,7,-9.814,1,0.0445,0.556,0.0239,0.12,0.42,78.714,140484,4,Just a Man,Good Morning,NA
683,0.431,0.962,4,-7.216,1,0.182,0.0413,0.000211,0.124,0.75,179.683,199341,4,Beachboy,McCafferty,1
684,0.541,0.619,1,-8.746,0,0.254,0.167,0.00633,0.144,0.491,163.908,214693,4,"GRAVITY (FEAT. TYLER, THE CREATOR)",Brent Faiyaz,1
685,0.701,0.782,1,-4.987,1,0.138,0.0918,2.31E-06,0.124,0.57,94.03,156040,4,16,Baby Keem,NA
686,0.552,0.731,7,-6.873,1,0.615,0.0536,0,0.258,0.632,174.516,248613,4,DUCKWORTH.,Kendrick Lamar,1
687,0.676,0.536,2,-8.79,1,0.0432,0.403,3.37E-05,0.105,0.373,79.037,172672,4,HONEST,Baby Keem,1
688,0.645,0.658,1,-6.625,1,0.0532,0.623,2.02E-05,0.107,0.19,77.021,259144,4,Objects in the Mirror,Mac Miller,NA
